Title,Theme,Studio,Source,Episodes,Rating,Members,Date,Img_url
Vinland Saga Season 2,"Gore, Historical",MAPPA,Manga,24 eps,8.81,643K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1170/124312.jpg
Tomo-chan wa Onnanoko!,School,Lay-duce,Web manga,13 eps,7.77,410K,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1444/131828.jpg
Tokyo Revengers: Seiya Kessen-hen,"Delinquents, Time Travel",LIDENFILMS,Manga,13 eps,7.65,365K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1773/132313.jpg
"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","Reincarnation, School",SILVER LINK.,Light novel,12 eps,6.88,347K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1369/139553.jpg
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,School,Project No.9,Light novel,12 eps,7.82,325K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1240/133638.jpg
Bungou Stray Dogs 4th Season,"Adult Cast, Detective, Organized Crime, Super Power",Bones,Manga,13 eps,8.44,299K,"Jan 4, 2023",https://cdn.myanimelist.net/images/anime/1263/132759.jpg
"Ijiranaide, Nagatoro-san 2nd Attack","Romantic Subtext, School",OLM,Web manga,12 eps,7.48,288K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1902/129579.jpg
NieR:Automata Ver1.1a,Unknown,A-1 Pictures,Game,12 eps,7.51,288K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1399/128318.jpg
Buddy Daddies,"Childcare, Organized Crime",P.A. Works,Original,12 eps,8.12,285K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1553/133767.jpg
Tondemo Skill de Isekai Hourou Meshi,Isekai,MAPPA,Light novel,12 eps,7.66,237K,"Jan 11, 2023",https://cdn.myanimelist.net/images/anime/1661/131889.jpg
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,Video Game,SILVER LINK.,Light novel,12 eps,7.20,235K,"Jan 11, 2023",https://cdn.myanimelist.net/images/anime/1782/128859.jpg
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,Unknown,J.C.Staff,Light novel,11 eps,8.24,222K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1476/128693.jpg
Isekai Nonbiri Nouka,"Isekai, Reincarnation",Zero-G,Light novel,12 eps,7.56,215K,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1983/132329.jpg
Saikyou Onmyouji no Isekai Tenseiki,"Isekai, Reincarnation",Studio Blanc.,Light novel,13 eps,7.14,214K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1547/125900.jpg
Koori Zokusei Danshi to Cool na Douryou Joshi,"Adult Cast, Mythology, Workplace","Liber, Zero-G",Web manga,12 eps,7.32,212K,"Jan 4, 2023",https://cdn.myanimelist.net/images/anime/1927/132758.jpg
Kubo-san wa Mob wo Yurusanai,School,PINE JAM,Manga,12 eps,7.56,206K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1818/132330.jpg
Tensei Oujo to Tensai Reijou no Mahou Kakumei,"Isekai, Reincarnation",Diomedéa,Light novel,12 eps,7.47,191K,"Jan 4, 2023",https://cdn.myanimelist.net/images/anime/1053/129004.jpg
Trigun Stampede,Adult Cast,Orange,Manga,12 eps,7.83,190K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1426/129194.jpg
"Benriya Saitou-san, Isekai ni Iku",Isekai,C2C,Web manga,12 eps,7.41,174K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1805/132335.jpg
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Unknown,Geek Toys,Light novel,12 eps,6.32,170K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1446/131578.jpg
Hyouken no Majutsushi ga Sekai wo Suberu,School,Cloud Hearts,Light novel,12 eps,6.35,168K,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1049/131580.jpg
Kyokou Suiri Season 2,"Adult Cast, Mythology",Brain's Base,Manga,12 eps,7.35,161K,"Jan 9, 2023",https://cdn.myanimelist.net/images/anime/1901/131653.jpg
Oniichan wa Oshimai!,"CGDCT, Magical Sex Shift, School",Studio Bind,Manga,12 eps,7.67,153K,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1058/131632.jpg
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,Unknown,Encourage Films,Light novel,12 eps,7.02,148K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1224/132328.jpg
Spy Kyoushitsu,Unknown,feel.,Light novel,12 eps,6.39,148K,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1491/132864.jpg
"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Reincarnation,Studio Comet,Light novel,12 eps,6.56,147K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1044/129594.jpg
Inu ni Nattara Suki na Hito ni Hirowareta.,Unknown,Quad,Web manga,12 eps,5.07,118K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1832/132333.jpg
High Card,"Adult Cast, Organized Crime, Super Power",Studio Hibari,Mixed media,12 eps,7.17,117K,"Jan 9, 2023",https://cdn.myanimelist.net/images/anime/1803/131345.jpg
Sugar Apple Fairy Tale,Visual Arts,J.C.Staff,Light novel,12 eps,7.46,117K,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1897/131300.jpg
Kami-tachi ni Hirowareta Otoko 2nd Season,"Isekai, Iyashikei, Reincarnation",Maho Film,Light novel,12 eps,6.79,116K,"Jan 9, 2023",https://cdn.myanimelist.net/images/anime/1521/131469.jpg
Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"Harem, Isekai",Hotline,Light novel,12 eps,5.45,104K,"Jan 14, 2023",https://cdn.myanimelist.net/images/anime/1862/128297.jpg
Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,Isekai,Felix Film,Light novel,12 eps,6.94,94K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1890/131473.jpg
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,Video Game,Tezuka Productions,Light novel,12 eps,7.22,93K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1997/131327.jpg
Revenger,"Adult Cast, Historical, Organized Crime, Samurai",Ajia-do,Original,12 eps,6.66,80K,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1884/131748.jpg
Ayakashi Triangle,"Magical Sex Shift, Mythology",Connect,Manga,12 eps,6.44,72K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1078/131921.jpg
Mononogatari,"Adult Cast, Mythology",Bandai Namco Pictures,Manga,12 eps,7.25,68K,"Jan 10, 2023",https://cdn.myanimelist.net/images/anime/1173/131830.jpg
Tsurune: Tsunagari no Issha,School,Kyoto Animation,Light novel,13 eps,8.09,57K,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1803/132337.jpg
Ooyukiumi no Kaina,Unknown,Polygon Pictures,Original,11 eps,6.67,49K,"Jan 12, 2023",https://cdn.myanimelist.net/images/anime/1064/131833.jpg
Hikari no Ou,Unknown,Signal.MD,Light novel,10 eps,6.34,45K,"Jan 14, 2023",https://cdn.myanimelist.net/images/anime/1787/131675.jpg
Ars no Kyojuu,Unknown,Asahi Production,Original,12 eps,6.05,44K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1866/133949.jpg
Nokemono-tachi no Yoru,"Anthropomorphic, Historical",Ashi Productions,Manga,13 eps,6.59,42K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1087/129002.jpg
The Legend of Heroes: Sen no Kiseki - Northern War,Military,Tatsunoko Production,Game,12 eps,5.65,36K,"Jan 8, 2023",https://cdn.myanimelist.net/images/anime/1894/133297.jpg
Kyuuketsuki Sugu Shinu 2,"Adult Cast, Gag Humor, Vampire",Madhouse,Manga,12 eps,7.44,34K,"Jan 9, 2023",https://cdn.myanimelist.net/images/anime/1254/131832.jpg
Pokemon: Mezase Pokemon Master,Unknown,OLM,Game,11 eps,7.56,24K,"Jan 13, 2023",https://cdn.myanimelist.net/images/anime/1246/134209.jpg
Mou Ippon!,"Combat Sports, School",Bakken Record,Manga,13 eps,7.09,24K,"Jan 9, 2023",https://cdn.myanimelist.net/images/anime/1039/131684.jpg
Majutsushi Orphen Hagure Tabi: Urbanrama-hen,Martial Arts,Studio Deen,Light novel,12 eps,6.14,16K,"Jan 18, 2023",https://cdn.myanimelist.net/images/anime/1388/132318.jpg
Technoroid: Overmind,"Idols (Male), Music",Doga Kobo,Mixed media,12 eps,6.52,15K,"Jan 5, 2023",https://cdn.myanimelist.net/images/anime/1208/132388.jpg
D4DJ All Mix,"Idols (Female), Music, School",SANZIGEN,Mixed media,12 eps,7.39,14K,"Jan 13, 2023",https://cdn.myanimelist.net/images/anime/1995/129754.jpg
Nijiyon Animation,"CGDCT, Idols (Female)",Sunrise,4-koma manga,12 eps,6.80,13K,"Jan 6, 2023",https://cdn.myanimelist.net/images/anime/1977/135538.jpg
Hirogaru Sky! Precure,Mahou Shoujo,Toei Animation,Original,50 eps,7.62,10K,"Feb 5, 2023",https://cdn.myanimelist.net/images/anime/1762/135268.jpg
UniteUp!,"Idols (Male), Music",CloverWorks,Music,12 eps,7.02,9.9K,"Jan 7, 2023",https://cdn.myanimelist.net/images/anime/1308/130458.jpg
Boku to Roboko,"Gag Humor, Parody",Gallop,Manga,28 eps,6.80,8.2K,"Dec 5, 2022",https://cdn.myanimelist.net/images/anime/1986/134747.jpg
Cardfight!! Vanguard: will+Dress Season 2,Strategy Game,"GIFTanimation, Kinema Citrus, Studio Jemi",Original,12 eps,6.70,4.9K,"Jan 14, 2023",https://cdn.myanimelist.net/images/anime/1259/131669.jpg
Flaglia: Natsuyasumi no Monogatari,Unknown,Gaina,Mixed media,6 eps,5.11,4.7K,"Jan 17, 2023",https://cdn.myanimelist.net/images/anime/1065/129807.jpg
KJ File 2nd Season,Unknown,"ILCA, yell",Original,13 eps,5.30,1.8K,"Jan 9, 2023",https://cdn.myanimelist.net/images/anime/1416/132315.jpg
Yomawari Neko,Anthropomorphic,Shogakukan Music & Digital Entertainment,Web manga,15 eps,N/A,684,"Mar 21, 2023",https://cdn.myanimelist.net/images/anime/1085/131383.jpg
Heart Cocktail Colorful: Haru-hen,Unknown,Unknown,Manga,5 eps,N/A,185,"Mar 28, 2023",https://cdn.myanimelist.net/images/anime/1823/139682.jpg
Chuldong! Super Wings 7,Racing,Unknown,Original,40 eps,N/A,122,"Feb 27, 2023",https://cdn.myanimelist.net/images/anime/1538/137797.jpg
Cricket Pang Season 2,Unknown,Unknown,Original,13 eps,N/A,108,"Jan 13, 2023",https://cdn.myanimelist.net/images/anime/1430/138129.jpg
Lindaui Singihan Yeohaeng 2,Unknown,Unknown,Original,8 eps,N/A,106,"Dec 25, 2022",https://cdn.myanimelist.net/images/anime/1873/138134.jpg
